study_ID,pub_year,class,species,species_OTL,life_stage,source,source_cat,source_location,lat,lon,region,medium,classification,trait,metric,tissue_sampled,exposure_temp,uv_type,c_age_hpf,c_age_dph,c_mass_g,c_length_mm,c_replicate_n,c_individual_n,c_n,c_irradiance_W_m2,c_dose_J_day,c_dose_kJ,c_daily_exposure_h,c_duration_day,c_mean,c_SD,c_SE,t_age_hpf,t_age_dph,t_mass_g,t_length_mm,t_replicate_n,t_individual_n,t_n,t_Irradiance_W_m2,t_dose_J_day,t_dose_kJ,t_daily_exposure_h,t_duration_day,t_mean,t_SD,t_SE,shared_control,shared_control2,delta_dose_J_day,error_reported,sample_level,corrected,lnRR,vi,reference,notes
1,2012,Amphibian,Limnodynastes peronii,Limnodynastes peronii,Larva,Wild ,Wild,"University of Queensland, Australia",-27.50633,152.98971,Subtropical,Aquatic,Tissue/Organ System,Energy Metabolism,Routine Metabolic Rate,Whole Animal,25,UVB,,,,,5,19,5,0,0,0,0.75,9,285.85,23.74,10.61,,,,,5,23,5,5,135000,121.5,0.75,9,245.61,38.43,17.19,1,1a,135000,Standard Error,Tank Replicate,,-0.151722286,0.006275899,Alton et al (2012),
1,2012,Amphibian,Limnodynastes peronii,Limnodynastes peronii,Larva,Wild ,Wild,"University of Queensland, Australia",-27.50633,152.98971,Subtropical,Aquatic,Whole Animal Performance,Behaviour,Time Active,Whole Animal,25,UVB,,,,,5,30,5,0,0,0,0.75,9,0.31,0.064,0.029,,,,,5,30,5,5,135000,121.5,0.75,9,0.13,0.056,0.025,3,1b,135000,Standard Error,Tank Replicate,,-0.869037847,0.04563688,Alton et al (2012),
1,2012,Amphibian,Limnodynastes peronii,Limnodynastes peronii,Larva,Wild ,Wild,"University of Queensland, Australia",-27.50633,152.98971,Subtropical,Aquatic,Tissue/Organ System,Energy Metabolism,Tissue Level Respiration,Tail Muscle,25,UVB,,,,,5,19,5,0,0,0,0.75,9,44.85,5.84,2.61,,,,,5,19,5,5,135000,121.5,0.75,9,60.47,6.8,3.04,2,1c,135000,Standard Error,Tank Replicate,,0.298823786,0.005920134,Alton et al (2012),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,608.02,36.75,12.99,,,32.26,,2,8,8,0.1,3000,8,8,3,440.98,110.24,38.98,4,2a,3000,Standard Deviation,Individual,,-0.321208253,0.008268447,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,608.02,36.75,12.99,,,32.26,,2,8,8,0.2,6000,19,8,3,424.28,100.22,35.43,4,2a,6000,Standard Deviation,Individual,,-0.359814162,0.007431166,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,608.02,36.75,12.99,,,32.26,,2,8,8,0.4,12000,34,8,3,260.58,113.59,40.16,4,2a,12000,Standard Deviation,Individual,,-0.84729786,0.024209086,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,691.54,66.81,23.62,,,32.26,,2,8,8,0.1,3000,38,8,15,831.85,120.27,42.52,5,2b,3000,Standard Deviation,Individual,,0.184731141,0.003779669,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,691.54,66.81,23.62,,,32.26,,2,8,8,0.2,6000,94,8,15,601.34,83.52,29.53,5,2b,6000,Standard Deviation,Individual,,-0.139760496,0.003577995,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,614.7,80.18,28.35,,,32.26,,2,8,8,0.1,3000,110,8,43,724.94,120.27,42.52,6,2c,3000,Standard Deviation,Individual,,0.164954549,0.005567238,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,614.7,80.18,28.35,,,32.26,,2,8,8,0.2,6000,270,8,43,467.71,123.6,43.7,6,2c,6000,Standard Deviation,Individual,,-0.273285898,0.010856332,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,10.27,2.07,0.73,,,32.26,,2,8,8,0.1,3000,8,8,3,13.78,1.71,0.6,7,2e,3000,Standard Deviation,Individual,,0.293991242,0.007003081,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,10.27,2.07,0.73,,,32.26,,2,8,8,0.2,6000,19,8,3,14.68,3.06,1.08,7,2e,6000,Standard Deviation,Individual,,0.357258999,0.010509462,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,10.27,2.07,0.73,,,32.26,,2,8,8,0.4,12000,34,8,3,20.36,5.59,1.98,7,2e,12000,Standard Deviation,Individual,,0.684345168,0.014500959,Alves and Agusti (2021),
